validdate;t_2m:C
2019-06-26T14:00:00Z;34.8
2019-06-27T14:00:00Z;32.7
2019-06-28T14:00:00Z;29.9
2019-06-29T14:00:00Z;31.4
2019-06-30T14:00:00Z;35.6
2019-07-01T14:00:00Z;29.8
2019-07-02T14:00:00Z;28.0
2019-07-03T14:00:00Z;27.9
2019-07-04T14:00:00Z;28.4
2019-07-05T14:00:00Z;30.7
2019-07-06T14:00:00Z;24.3
2019-07-07T14:00:00Z;28.5
2019-07-08T14:00:00Z;21.2
2019-07-09T14:00:00Z;22.8
2019-07-10T14:00:00Z;23.8
2019-07-11T14:00:00Z;20.1
2019-07-12T14:00:00Z;26.4
2019-07-13T14:00:00Z;24.1
2019-07-14T14:00:00Z;21.4
2019-07-15T14:00:00Z;21.9
2019-07-16T14:00:00Z;25.8
2019-07-17T14:00:00Z;27.8
2019-07-18T14:00:00Z;24.4
2019-07-19T14:00:00Z;27.8
2019-07-20T14:00:00Z;30.0
2019-07-21T14:00:00Z;28.9
2019-07-22T14:00:00Z;29.0
2019-07-23T14:00:00Z;34.3
2019-07-24T14:00:00Z;36.5
2019-07-25T14:00:00Z;37.4
2019-07-26T14:00:00Z;35.1
2019-07-27T14:00:00Z;24.5
2019-07-28T14:00:00Z;18.3
2019-07-29T14:00:00Z;24.8
2019-07-30T14:00:00Z;28.2
2019-07-31T14:00:00Z;22.9
2019-08-01T14:00:00Z;25.7
2019-08-02T14:00:00Z;25.8
2019-08-03T14:00:00Z;25.7
2019-08-04T14:00:00Z;28.5
2019-08-05T14:00:00Z;30.0
2019-08-06T14:00:00Z;25.0
2019-08-07T14:00:00Z;19.9
2019-08-08T14:00:00Z;26.4
2019-08-09T14:00:00Z;34.1
2019-08-10T14:00:00Z;24.4
2019-08-11T14:00:00Z;27.4
2019-08-12T14:00:00Z;20.3
2019-08-13T14:00:00Z;21.1
2019-08-14T14:00:00Z;22.9
2019-08-15T14:00:00Z;22.9
2019-08-16T14:00:00Z;24.4
2019-08-17T14:00:00Z;25.4
2019-08-18T14:00:00Z;29.2
2019-08-19T14:00:00Z;20.8
2019-08-20T14:00:00Z;16.5
2019-08-21T14:00:00Z;21.1
2019-08-22T14:00:00Z;22.5
2019-08-23T14:00:00Z;24.2
2019-08-24T14:00:00Z;26.4
2019-08-25T14:00:00Z;28.7
2019-08-26T14:00:00Z;28.8
2019-08-27T14:00:00Z;29.7
2019-08-28T14:00:00Z;30.1
2019-08-29T14:00:00Z;24.2
2019-08-30T14:00:00Z;27.8
2019-08-31T14:00:00Z;30.1
2019-09-01T14:00:00Z;21.2
2019-09-02T14:00:00Z;21.0
2019-09-03T14:00:00Z;20.7
2019-09-04T14:00:00Z;20.5
2019-09-05T14:00:00Z;20.2
2019-09-06T14:00:00Z;20.0
2019-09-07T14:00:00Z;19.7
2019-09-08T14:00:00Z;19.5
2019-09-09T14:00:00Z;19.2
2019-09-10T14:00:00Z;19.0
2019-09-11T14:00:00Z;18.7
2019-09-12T14:00:00Z;18.5
2019-09-13T14:00:00Z;18.2
2019-09-14T14:00:00Z;18.0
2019-09-15T14:00:00Z;17.7
